clause_id,hand_measure,note
34388773:p00236:c09:split-1,Build redundant communication networks with satellite backup and diverse routing for early warning dissemination,"fiber optic link redundancy, satellite backup for connectivity, data hosting redundancy"
32159890:p00161:c02:split-1,Deploy telemedicine and digital health platforms for continued healthcare access during crises,support to telemedicine and mHealth
33107441:p00434:c04:split-1,Deploy telemedicine and digital health platforms for continued healthcare access during crises,telemedicine named among the government platforms
33706639:p00238:c02:split-1,Deploy telemedicine and digital health platforms for continued healthcare access during crises,to enable telemedicine and remote diagnosis
32108178:p00169:c04:split-1,Deploy digital education continuity platforms for remote learning during crises,remote learning and virtual continuity
32159890:p00162:c05:split-1,Deploy digital education continuity platforms for remote learning during crises,school computing facilities and an online learning portal
32108178:p00707:c01:split-1,Digitize land registries and property records to protect asset ownership through crises,National Multipurpose Cadaster with cadastral surveying
32108178:p00709:c03:split-1,Digitize land registries and property records to protect asset ownership through crises,Cadaster and Land Registry interoperability
32108178:p00515:c10:split-1,Establish disaster recovery sites and government cloud resilience for continuity of digital services,primary datacenter plus a secondary location as a backup site
31866361:p00184:c01:split-1,Establish disaster recovery sites and government cloud resilience for continuity of digital services,Disaster Recovery / Business Continuity and Government Cloud
33753850:p00487:c01:split-1,Establish disaster recovery sites and government cloud resilience for continuity of digital services,robust data centers providing data recovery and backup
33421881:p00241:c05:split-1,Establish disaster recovery sites and government cloud resilience for continuity of digital services,data recovery and backup in the event of climate-related disasters
32108178:p00661:c06:split-1,Establish national cybersecurity frameworks and CERTs for critical digital infrastructure,establishment of the CERT
31747152:p00509:c04:split-1,Establish national cybersecurity frameworks and CERTs for critical digital infrastructure,empower ngCERT and sectoral CERTs
31338295:p00151:c09:split-1,Establish national cybersecurity frameworks and CERTs for critical digital infrastructure,protect data and service delivery channels against cybersecurity risks
31338295:p00173:c08:split-1,"Deploy multi-channel early warning dissemination combining cell broadcast, SMS, apps, and radio",early warning alerts via mobile phones radio and the internet
33706639:p00419:c01:split-1,Deploy digital disease surveillance and epidemic intelligence platforms,digital information for enhanced disease surveillance in agropastoral systems
33118666:p00153:c09:split-1,Deploy digital disease surveillance and epidemic intelligence platforms,holistic disease surveillance and monitoring
31167658:p00542:c02:split-1,Establish infrastructure sharing and emergency roaming policies between telecom operators,active network-sharing with local roaming at the wholesale level
32321387:p00153:c14:split-1,Establish infrastructure sharing and emergency roaming policies between telecom operators,adoption of an infrastructure sharing law
31866361:p00176:c06:split-1,Establish infrastructure sharing and emergency roaming policies between telecom operators,roaming and interconnection services to any access seeker
32971756:p00315:c03:split-1,Establish emergency power backup for critical digital infrastructure,backup power systems for switching and transmitting equipment
31866361:p00159:c14:split-1,Establish emergency power backup for critical digital infrastructure,reduce dependence on backup diesel generators
31167658:p00236:c29:split-1,Develop national fiber pooling and open access policies for resilient connectivity,open access public-private strategy in targeted rural areas
31167658:p00558:c05:split-1,Develop national fiber pooling and open access policies for resilient connectivity,coverage on an open access basis
33706639:p00221:c02:split-1,Deploy smart grid and digital energy management systems for resilient power supply,smart grids among climate adaptation measures
32626249:p00167:c02:split-1,Develop national emergency telecommunications plans and spectrum sharing mandates,frequency spectrum monitoring system and enforcement methodology
32971756:p00181:c01:split-1,Develop national emergency telecommunications plans and spectrum sharing mandates,managing spectrum and acquiring spectrum monitoring equipment
31747152:p00280:c06:split-1,Deploy shock-responsive G2P digital payment systems linked to national ID and social registries,identity authentication for government-to-persons payments
31747152:p00301:c07:split-1,Deploy shock-responsive G2P digital payment systems linked to national ID and social registries,targeted cash transfers through an electronic payments system
31167658:p00509:c10:split-1,Establish data protection and consent protocols for beneficiary registries used in emergency disbursements,data-sharing plan compliant with data privacy good practice
