clause_id,hand_measure,representation,predicted_measure,cosine,top1,top5,cluster_id,cluster_nearest_reference,cluster_correct
34388773:p00236:c09:split-1,Build redundant communication networks with satellite backup and diverse routing for early warning dissemination,raw,Establish disaster recovery sites and government cloud resilience for continuity of digital services,0.6345,0,1,raw-c045,Establish disaster recovery sites and government cloud resilience for continuity of digital services,0
34388773:p00236:c09:split-1,Build redundant communication networks with satellite backup and diverse routing for early warning dissemination,projected,Establish disaster recovery sites and government cloud resilience for continuity of digital services,0.5073,0,1,projected-c213,Build submarine cable redundancy through diverse routing,0
32159890:p00161:c02:split-1,Deploy telemedicine and digital health platforms for continued healthcare access during crises,raw,Deploy telemedicine and digital health platforms for continued healthcare access during crises,0.4967,1,1,raw-c102,Implement digital platforms for port and maritime supply chain resilience,0
32159890:p00161:c02:split-1,Deploy telemedicine and digital health platforms for continued healthcare access during crises,projected,Deploy telemedicine and digital health platforms for continued healthcare access during crises,0.3731,1,1,projected-c001,Upgrade and harden government data centers for disaster resilience,0
33107441:p00434:c04:split-1,Deploy telemedicine and digital health platforms for continued healthcare access during crises,raw,Deploy shock-responsive G2P digital payment systems linked to national ID and social registries,0.4312,0,0,raw-c114,Implement digital platforms for port and maritime supply chain resilience,0
33107441:p00434:c04:split-1,Deploy telemedicine and digital health platforms for continued healthcare access during crises,projected,Deploy digital agriculture extension services for advisory and market access,0.2463,0,0,projected-c137,Develop and regularly test government ICT business continuity and disaster recovery plans,0
33706639:p00238:c02:split-1,Deploy telemedicine and digital health platforms for continued healthcare access during crises,raw,Deploy telemedicine and digital health platforms for continued healthcare access during crises,0.4762,1,1,raw-c094,Establish digital accessibility standards for persons with disabilities in crisis services,0
33706639:p00238:c02:split-1,Deploy telemedicine and digital health platforms for continued healthcare access during crises,projected,Deploy telemedicine and digital health platforms for continued healthcare access during crises,0.4124,1,1,projected-c308,Design interoperability and portability standards for digital financial services,0
32108178:p00169:c04:split-1,Deploy digital education continuity platforms for remote learning during crises,raw,Deploy digital education continuity platforms for remote learning during crises,0.6046,1,1,raw-c245,Build digital coordination platforms for multi-agency emergency response and aid logistics,0
32108178:p00169:c04:split-1,Deploy digital education continuity platforms for remote learning during crises,projected,Deploy digital education continuity platforms for remote learning during crises,0.5162,1,1,projected-c219,Establish disaster recovery sites and government cloud resilience for continuity of digital services,0
32159890:p00162:c05:split-1,Deploy digital education continuity platforms for remote learning during crises,raw,Deploy digital education continuity platforms for remote learning during crises,0.5706,1,1,raw-c092,Design digital inclusion safeguards ensuring crisis response reaches populations without connectivity or devices,0
32159890:p00162:c05:split-1,Deploy digital education continuity platforms for remote learning during crises,projected,Deploy digital education continuity platforms for remote learning during crises,0.4805,1,1,projected-c074,Upgrade and harden government data centers for disaster resilience,0
32108178:p00707:c01:split-1,Digitize land registries and property records to protect asset ownership through crises,raw,Digitize land registries and property records to protect asset ownership through crises,0.4172,1,1,raw-c218,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,0
32108178:p00707:c01:split-1,Digitize land registries and property records to protect asset ownership through crises,projected,Digitize land registries and property records to protect asset ownership through crises,0.2928,1,1,projected-c095,Develop and regularly test government ICT business continuity and disaster recovery plans,0
32108178:p00709:c03:split-1,Digitize land registries and property records to protect asset ownership through crises,raw,Digitize land registries and property records to protect asset ownership through crises,0.5976,1,1,raw-c295,Develop interoperability standards across humanitarian and government digital response systems,0
32108178:p00709:c03:split-1,Digitize land registries and property records to protect asset ownership through crises,projected,Digitize land registries and property records to protect asset ownership through crises,0.4402,1,1,projected-c204,Develop and regularly test government ICT business continuity and disaster recovery plans,0
32108178:p00515:c10:split-1,Establish disaster recovery sites and government cloud resilience for continuity of digital services,raw,Establish disaster recovery sites and government cloud resilience for continuity of digital services,0.6746,1,1,raw-c230,Establish disaster recovery sites and government cloud resilience for continuity of digital services,1
32108178:p00515:c10:split-1,Establish disaster recovery sites and government cloud resilience for continuity of digital services,projected,Establish disaster recovery sites and government cloud resilience for continuity of digital services,0.5495,1,1,projected-c001,Upgrade and harden government data centers for disaster resilience,0
31866361:p00184:c01:split-1,Establish disaster recovery sites and government cloud resilience for continuity of digital services,raw,Establish disaster recovery sites and government cloud resilience for continuity of digital services,0.5694,1,1,raw-c170,Develop and regularly test government ICT business continuity and disaster recovery plans,0
31866361:p00184:c01:split-1,Establish disaster recovery sites and government cloud resilience for continuity of digital services,projected,Establish disaster recovery sites and government cloud resilience for continuity of digital services,0.4119,1,1,projected-c185,Design social registries with dynamic expansion capability for rapid shock response,0
33753850:p00487:c01:split-1,Establish disaster recovery sites and government cloud resilience for continuity of digital services,raw,Upgrade and harden government data centers for disaster resilience,0.6431,0,1,raw-c194,Monitor climate vulnerability of digital infrastructure using geospatial and climate projection data,0
33753850:p00487:c01:split-1,Establish disaster recovery sites and government cloud resilience for continuity of digital services,projected,Upgrade and harden government data centers for disaster resilience,0.5032,0,1,projected-c092,Upgrade and harden government data centers for disaster resilience,0
33421881:p00241:c05:split-1,Establish disaster recovery sites and government cloud resilience for continuity of digital services,raw,Upgrade and harden government data centers for disaster resilience,0.5660,0,1,raw-c035,Upgrade and harden government data centers for disaster resilience,0
33421881:p00241:c05:split-1,Establish disaster recovery sites and government cloud resilience for continuity of digital services,projected,Upgrade and harden government data centers for disaster resilience,0.4024,0,1,projected-c092,Upgrade and harden government data centers for disaster resilience,0
32108178:p00661:c06:split-1,Establish national cybersecurity frameworks and CERTs for critical digital infrastructure,raw,Establish national cybersecurity frameworks and CERTs for critical digital infrastructure,0.4293,1,1,raw-c180,Incorporate resilience standards and climate screening in telecom infrastructure procurement,0
32108178:p00661:c06:split-1,Establish national cybersecurity frameworks and CERTs for critical digital infrastructure,projected,Upgrade and harden government data centers for disaster resilience,0.2370,0,1,projected-c301,Incorporate resilience standards and climate screening in telecom infrastructure procurement,0
31747152:p00509:c04:split-1,Establish national cybersecurity frameworks and CERTs for critical digital infrastructure,raw,Establish national cybersecurity frameworks and CERTs for critical digital infrastructure,0.6380,1,1,raw-c160,Establish national cybersecurity frameworks and CERTs for critical digital infrastructure,1
31747152:p00509:c04:split-1,Establish national cybersecurity frameworks and CERTs for critical digital infrastructure,projected,Establish national cybersecurity frameworks and CERTs for critical digital infrastructure,0.4906,1,1,projected-c278,Establish infrastructure sharing and emergency roaming policies between telecom operators,0
31338295:p00151:c09:split-1,Establish national cybersecurity frameworks and CERTs for critical digital infrastructure,raw,Upgrade and harden government data centers for disaster resilience,0.6437,0,0,raw-c035,Upgrade and harden government data centers for disaster resilience,0
