clause_id,paragraph_id,doc_id,block,section,section_path,char_start,char_end,text_sha256,split_rule,norm_hash,drop_reason
31167658:p00120:c01:split-1,31167658:p00120,31167658,narrative,Sectoral and Institutional Context,I.B,20974,21009,bbb09a2732de2f8ac16164e5bfaa73f4004852650a902e36bc30d679e1d84a8f,sentence,,heading
31167658:p00164:c01:split-1,31167658:p00164,31167658,narrative,Sectoral and Institutional Context,I.B,37631,37673,3600d9e4acee31b30019753aad4980313af6d91c015fe07cd5b7a16bc836289b,sentence,,heading
31167658:p00170:c01:split-1,31167658:p00170,31167658,narrative,Sectoral and Institutional Context,I.B,38653,38692,0eccc91bacad0f21079240766ee0deb754a02bf48362474a50a8e3b70791b671,sentence,,heading
31167658:p00173:c01:split-1,31167658:p00173,31167658,narrative,Sectoral and Institutional Context,I.B,40186,40244,9765a8122d83d6a749e9b9bce70890353c2460d9b88a188dfe48e7c7ec4b3823,sentence,,heading
31167658:p00177:c01:split-1,31167658:p00177,31167658,narrative,Sectoral and Institutional Context,I.B,40288,40324,eaec333d8098fff1893bc76af52a308eb5b7b222fee4334b64f053e5d903351d,sentence,,heading
31167658:p00195:c10:split-1,31167658:p00195,31167658,narrative,Relevance to Higher Level Objectives,I.C,48357,48394,5cb66e029f948498b3c762f83055037f90941048f7f5fab8f589bfac9e4a5942,semicolon,,duplicate
31167658:p00203:c12:split-1,31167658:p00203,31167658,narrative,Relevance to Higher Level Objectives,I.C,55155,55158,6201111b83a0cb5b0922cb37cc442b9a40e24e3b1ce100a4bb204f4c63fd2ac0,semicolon,,duplicate
31167658:p00213:c01:split-1,31167658:p00213,31167658,narrative,Project Development Objective,II.A,56523,56559,cdee0873a611cfb911be75477b536ced168442a7d1d3a7a9c236dfb46cac96f9,sentence,,heading
31167658:p00214:c01:split-1,31167658:p00214,31167658,narrative,Project Development Objective,II.A,56562,56651,9a81a0751e673bc31dafa501592f892abcc8a4a436a9ecbfa004244875275645,sentence,,heading
31167658:p00218:c02:split-1,31167658:p00218,31167658,narrative,Project Development Objective,II.A,56974,57000,0dca64b1aed35aaa7e6e12d834aad8beda9c9d5dcfdcd17b1aec68c66a504108,relative,,duplicate
31167658:p00219:c03:split-1,31167658:p00219,31167658,narrative,Project Development Objective,II.A,57077,57103,0dca64b1aed35aaa7e6e12d834aad8beda9c9d5dcfdcd17b1aec68c66a504108,relative,,duplicate
31167658:p00226:c06:split-1,31167658:p00226,31167658,narrative,Project Components,II.B,58592,58595,6201111b83a0cb5b0922cb37cc442b9a40e24e3b1ce100a4bb204f4c63fd2ac0,semicolon,,duplicate
31167658:p00227:c01:split-1,31167658:p00227,31167658,narrative,Project Components,II.B,58599,58696,c4c2ff9f8bc58a8cadb175b10d1e5fe0d7fc80aa8ba592bb68f3f9f9b46b4049,sentence,,heading
