variant,package_key,package_id,project_id,description_lang,category,status,resolution,asset_class,group,term_len
clean,P160766|TZ-MCIT-254575-GO-RFB,TZ-MCIT-254575-GO-RFB,P160766,en,goods,cancelled,coarse,,telecom,
deglued,P160766|TZ-MCIT-254575-GO-RFB,TZ-MCIT-254575-GO-RFB,P160766,en,goods,cancelled,coarse,,telecom,
match_key,P160766|TZ-MCIT-254575-GO-RFB,TZ-MCIT-254575-GO-RFB,P160766,en,goods,cancelled,fine,dpi,platform,3
clean,P160766|TZ-MCIT-254584-GO-RFQ,TZ-MCIT-254584-GO-RFQ,P160766,en,goods,cancelled,unresolved,,,
deglued,P160766|TZ-MCIT-254584-GO-RFQ,TZ-MCIT-254584-GO-RFQ,P160766,en,goods,cancelled,unresolved,,,
match_key,P160766|TZ-MCIT-254584-GO-RFQ,TZ-MCIT-254584-GO-RFQ,P160766,en,goods,cancelled,unresolved,,,0
clean,P160766|TZ-MCIT-254586-GO-RFB,TZ-MCIT-254586-GO-RFB,P160766,en,goods,signed,fine,data_hosting,data_and_hosting,
deglued,P160766|TZ-MCIT-254586-GO-RFB,TZ-MCIT-254586-GO-RFB,P160766,en,goods,signed,fine,data_hosting,data_and_hosting,
match_key,P160766|TZ-MCIT-254586-GO-RFB,TZ-MCIT-254586-GO-RFB,P160766,en,goods,signed,fine,data_hosting,data_and_hosting,10
clean,P160766|TZ-MCIT-254587-NC-RFQ,TZ-MCIT-254587-NC-RFQ,P160766,en,non_consulting_services,cancelled,coarse,,telecom,
deglued,P160766|TZ-MCIT-254587-NC-RFQ,TZ-MCIT-254587-NC-RFQ,P160766,en,non_consulting_services,cancelled,coarse,,telecom,
match_key,P160766|TZ-MCIT-254587-NC-RFQ,TZ-MCIT-254587-NC-RFQ,P160766,en,non_consulting_services,cancelled,coarse,,telecom,3
clean,P160766|TZ-MCIT-254590-NC-RFB,TZ-MCIT-254590-NC-RFB,P160766,en,non_consulting_services,cancelled,unresolved,,,
deglued,P160766|TZ-MCIT-254590-NC-RFB,TZ-MCIT-254590-NC-RFB,P160766,en,non_consulting_services,cancelled,unresolved,,,
match_key,P160766|TZ-MCIT-254590-NC-RFB,TZ-MCIT-254590-NC-RFB,P160766,en,non_consulting_services,cancelled,fine,fiber,telecom,4
clean,P160766|TZ-MCIT-254597-NC-RFB,TZ-MCIT-254597-NC-RFB,P160766,en,non_consulting_services,cancelled,coarse,,telecom,
deglued,P160766|TZ-MCIT-254597-NC-RFB,TZ-MCIT-254597-NC-RFB,P160766,en,non_consulting_services,cancelled,coarse,,telecom,
match_key,P160766|TZ-MCIT-254597-NC-RFB,TZ-MCIT-254597-NC-RFB,P160766,en,non_consulting_services,cancelled,coarse,,telecom,9
clean,P160766|TZ-MCIT-254648-CS-CQS,TZ-MCIT-254648-CS-CQS,P160766,en,consultant_services,signed,unresolved,,,
deglued,P160766|TZ-MCIT-254648-CS-CQS,TZ-MCIT-254648-CS-CQS,P160766,en,consultant_services,signed,unresolved,,,
match_key,P160766|TZ-MCIT-254648-CS-CQS,TZ-MCIT-254648-CS-CQS,P160766,en,consultant_services,signed,fine,fiber,telecom,4
clean,P160766|TZ-MCIT-254653-CS-QCBS,TZ-MCIT-254653-CS-QCBS,P160766,en,consultant_services,cancelled,coarse,,telecom,
deglued,P160766|TZ-MCIT-254653-CS-QCBS,TZ-MCIT-254653-CS-QCBS,P160766,en,consultant_services,cancelled,coarse,,telecom,
match_key,P160766|TZ-MCIT-254653-CS-QCBS,TZ-MCIT-254653-CS-QCBS,P160766,en,consultant_services,cancelled,fine,fiber,telecom,4
clean,P160766|TZ-MCIT-254764-CW-RFB,TZ-MCIT-254764-CW-RFB,P160766,en,works,cancelled,unresolved,,,
deglued,P160766|TZ-MCIT-254764-CW-RFB,TZ-MCIT-254764-CW-RFB,P160766,en,works,cancelled,unresolved,,,
match_key,P160766|TZ-MCIT-254764-CW-RFB,TZ-MCIT-254764-CW-RFB,P160766,en,works,cancelled,unresolved,,,0
