variant,asset_class,n_resolved,pct_of_packages
clean,,4977,88.9
clean,access_connectivity,110,2.0
clean,cybersecurity,169,3.0
clean,data_hosting,116,2.1
clean,dpi,130,2.3
clean,drm_ews,7,0.1
clean,fiber,78,1.4
clean,mobile_towers,11,0.2
clean,submarine_cable,3,0.1
deglued,,4960,88.6
deglued,access_connectivity,109,1.9
deglued,cybersecurity,175,3.1
deglued,data_hosting,119,2.1
deglued,dpi,137,2.4
deglued,drm_ews,6,0.1
deglued,fiber,82,1.5
deglued,mobile_towers,10,0.2
deglued,submarine_cable,3,0.1
match_key,,4450,79.5
match_key,access_connectivity,106,1.9
match_key,cybersecurity,312,5.6
match_key,data_hosting,128,2.3
match_key,dpi,316,5.6
match_key,drm_ews,51,0.9
match_key,fiber,214,3.8
match_key,mobile_towers,19,0.3
match_key,submarine_cable,5,0.1
