variant,asset_class,description_lang,n_resolved,pct_of_packages
clean,,en,2829,50.5
clean,,es,128,2.3
clean,,fr,1867,33.3
clean,,pt,153,2.7
clean,access_connectivity,en,85,1.5
clean,access_connectivity,es,1,0.0
clean,access_connectivity,fr,23,0.4
clean,access_connectivity,pt,1,0.0
clean,cybersecurity,en,143,2.6
clean,cybersecurity,es,1,0.0
clean,cybersecurity,fr,22,0.4
clean,cybersecurity,pt,3,0.1
clean,data_hosting,en,96,1.7
clean,data_hosting,es,3,0.1
clean,data_hosting,fr,14,0.2
clean,data_hosting,pt,3,0.1
clean,dpi,en,101,1.8
clean,dpi,es,3,0.1
clean,dpi,fr,21,0.4
clean,dpi,pt,5,0.1
clean,drm_ews,en,6,0.1
clean,drm_ews,fr,1,0.0
clean,fiber,en,58,1.0
clean,fiber,fr,20,0.4
clean,mobile_towers,en,7,0.1
clean,mobile_towers,fr,4,0.1
clean,submarine_cable,en,2,0.0
clean,submarine_cable,pt,1,0.0
deglued,,en,2805,50.1
deglued,,es,128,2.3
deglued,,fr,1874,33.5
deglued,,pt,153,2.7
deglued,access_connectivity,en,89,1.6
deglued,access_connectivity,es,1,0.0
deglued,access_connectivity,fr,18,0.3
deglued,access_connectivity,pt,1,0.0
deglued,cybersecurity,en,146,2.6
deglued,cybersecurity,es,1,0.0
deglued,cybersecurity,fr,25,0.4
deglued,cybersecurity,pt,3,0.1
deglued,data_hosting,en,99,1.8
deglued,data_hosting,es,3,0.1
deglued,data_hosting,fr,14,0.2
deglued,data_hosting,pt,3,0.1
deglued,dpi,en,110,2.0
deglued,dpi,es,3,0.1
deglued,dpi,fr,19,0.3
deglued,dpi,pt,5,0.1
deglued,drm_ews,en,6,0.1
deglued,fiber,en,62,1.1
deglued,fiber,fr,20,0.4
deglued,mobile_towers,en,8,0.1
deglued,mobile_towers,fr,2,0.0
deglued,submarine_cable,en,2,0.0
deglued,submarine_cable,pt,1,0.0
match_key,,en,2277,40.7
match_key,,es,126,2.2
match_key,,fr,1895,33.8
match_key,,pt,152,2.7
match_key,access_connectivity,en,85,1.5
match_key,access_connectivity,es,1,0.0
match_key,access_connectivity,fr,20,0.4
match_key,cybersecurity,en,309,5.5
match_key,cybersecurity,es,1,0.0
match_key,cybersecurity,fr,1,0.0
match_key,cybersecurity,pt,1,0.0
match_key,data_hosting,en,115,2.1
match_key,data_hosting,es,5,0.1
match_key,data_hosting,fr,4,0.1
match_key,data_hosting,pt,4,0.1
match_key,dpi,en,282,5.0
match_key,dpi,es,3,0.1
match_key,dpi,fr,23,0.4
match_key,dpi,pt,8,0.1
match_key,drm_ews,en,51,0.9
match_key,fiber,en,188,3.4
match_key,fiber,fr,26,0.5
match_key,mobile_towers,en,16,0.3
match_key,mobile_towers,fr,3,0.1
match_key,submarine_cable,en,4,0.1
match_key,submarine_cable,pt,1,0.0
