variant,description_lang,n_packages,n_fine,n_coarse_only,n_unresolved,pct_fine,pct_coarse_only,pct_unresolved
clean,en,3327,498,377,2452,15.0,11.3,73.7
clean,es,136,8,9,119,5.9,6.6,87.5
clean,fr,1972,105,169,1698,5.3,8.6,86.1
clean,pt,166,13,21,132,7.8,12.7,79.5
deglued,en,3327,522,386,2419,15.7,11.6,72.7
deglued,es,136,8,9,119,5.9,6.6,87.5
deglued,fr,1972,98,168,1706,5.0,8.5,86.5
deglued,pt,166,13,20,133,7.8,12.0,80.1
match_key,en,3327,1050,362,1915,31.6,10.9,57.6
match_key,es,136,10,14,112,7.4,10.3,82.4
match_key,fr,1972,77,297,1598,3.9,15.1,81.0
match_key,pt,166,14,24,128,8.4,14.5,77.1
