community_id,size,n_paragraphs,n_documents,n_projects,project_spread,asset_top,asset_spread,commitment_share,junk_section_share,top_section,template_score,hazard_proximity,mean_cos_to_centroid,nearest_reference_id,nearest_reference_cos,verdict,verdict_reason,run_id,discovery_version
c0243,1424,1056,113,70,1.0,dpi,0.7253,0.0035,0.2605,Project Components,0.4717,0.3898,0.6095,REF030,0.3972,shortlist,,20260918T0131-7dd1a33,discover-1
c0552,816,662,98,67,0.9571,dpi,0.8434,0.0086,0.076,Project Components,0.4466,0.3088,0.6654,REF079,0.4961,shortlist,,20260918T0131-7dd1a33,discover-1
c0757,776,582,88,61,0.8714,access_connectivity,0.6836,0.049,0.116,Project Components,0.4242,0.2444,0.7038,REF059,0.4998,shortlist,,20260918T0131-7dd1a33,discover-1
c0596,748,519,110,63,0.9,access_connectivity,0.662,0.111,0.7193,Institutional and Implementation Arrangements,0.54,0.3297,0.7168,REF079,0.3589,junk,junk_section_share>=0.6,20260918T0131-7dd1a33,discover-1
c0374,582,261,63,60,0.8571,access_connectivity,0.7248,0.0241,0.0069,"Technical, Economic and Financial Analysis",0.2765,0.3368,0.6407,REF085,0.3515,shortlist,,20260918T0131-7dd1a33,discover-1
c0563,562,326,70,63,0.9,access_connectivity,0.8249,0.0605,0.0765,Project Components,0.3017,0.4633,0.6292,REF042,0.4917,shortlist,,20260918T0131-7dd1a33,discover-1
c0528,532,325,85,62,0.8857,cybersecurity,0.6899,0.0395,0.2744,Sectoral and Institutional Context,0.3786,0.327,0.6502,REF063,0.6059,shortlist,,20260918T0131-7dd1a33,discover-1
c0584,502,187,71,62,0.8857,drm_ews,0.54,0.0,0.0299,Country Context,0.306,0.7058,0.6293,REF041,0.5432,shortlist,,20260918T0131-7dd1a33,discover-1
c0412,495,383,74,61,0.8714,access_connectivity,0.5839,0.0384,0.1232,Project Components,0.3447,0.3342,0.6801,REF045,0.4337,shortlist,,20260918T0131-7dd1a33,discover-1
c0564,491,252,46,38,0.5429,drm_ews,0.3484,0.0305,0.2383,Project Components,0.1871,0.4499,0.5939,REF044,0.5316,shortlist,,20260918T0131-7dd1a33,discover-1
c0388,486,307,60,46,0.6571,dpi,0.7098,0.0597,0.0782,Detailed Project Description,0.2626,0.2971,0.6389,REF010,0.6505,shortlist,,20260918T0131-7dd1a33,discover-1
c0104,479,462,90,61,0.8714,dpi,0.7282,0.0042,0.0605,Project Components,0.4731,0.2611,0.7675,REF056,0.4789,shortlist,,20260918T0131-7dd1a33,discover-1
c0529,449,294,84,60,0.8571,cybersecurity,0.5428,0.049,0.1158,Project Components,0.3857,0.4096,0.6704,REF047,0.7075,shortlist,,20260918T0131-7dd1a33,discover-1
c0703,429,217,17,14,0.2,dpi,0.3286,0.0629,0.1795,Technical Design and Component Descriptions,0.0768,0.2475,0.6592,REF005,0.4581,shortlist,,20260918T0131-7dd1a33,discover-1
c0537,413,383,80,63,0.9,dpi,0.6242,0.0024,0.1211,Project Components,0.3704,0.4044,0.676,REF061,0.4115,shortlist,,20260918T0131-7dd1a33,discover-1
c0770,405,259,67,51,0.7286,access_connectivity,0.577,0.037,0.1481,Sectoral and Institutional Context,0.2966,0.2801,0.6462,REF043,0.6408,shortlist,,20260918T0131-7dd1a33,discover-1
c0548,401,375,100,68,0.9714,access_connectivity,0.7663,0.0175,0.5511,Implementation Arrangements and Support Plan,0.4831,0.3785,0.7054,REF030,0.3284,shortlist,,20260918T0131-7dd1a33,discover-1
c0745,367,159,62,56,0.8,access_connectivity,0.665,0.0027,0.0518,Sectoral and Institutional Context,0.2935,0.1812,0.6912,REF011,0.4856,shortlist,,20260918T0131-7dd1a33,discover-1
