community_id,size,n_paragraphs,n_documents,n_projects,project_spread,asset_top,asset_spread,commitment_share,junk_section_share,top_section,template_score,hazard_proximity,mean_cos_to_centroid,nearest_reference_id,nearest_reference_cos,verdict,verdict_reason,run_id,discovery_version
c0114,1424,1056,113,70,1.0,dpi,0.7253,0.0035,0.2605,Project Components,0.4717,0.3898,0.6095,REF030,0.3972,shortlist,,20260918T0135-7dd1a33,discover-1
c0070,929,445,115,66,0.9429,access_connectivity,0.542,0.0657,0.6695,Environmental and Social,0.5175,0.4692,0.657,REF030,0.4913,junk,junk_section_share>=0.6,20260918T0135-7dd1a33,discover-1
c0297,798,508,85,69,0.9857,access_connectivity,0.6806,0.1153,0.1491,Project Components,0.3742,0.2988,0.6427,REF011,0.5827,shortlist,,20260918T0135-7dd1a33,discover-1
c0377,776,582,88,61,0.8714,access_connectivity,0.6836,0.049,0.116,Project Components,0.4242,0.2444,0.7038,REF059,0.4998,shortlist,,20260918T0135-7dd1a33,discover-1
c0236,760,658,92,67,0.9571,dpi,0.6211,0.0026,0.1224,Project Components,0.4105,0.3993,0.6514,REF061,0.4318,shortlist,,20260918T0135-7dd1a33,discover-1
c0292,748,519,110,63,0.9,access_connectivity,0.662,0.111,0.7193,Institutional and Implementation Arrangements,0.54,0.3297,0.7168,REF079,0.3589,junk,junk_section_share>=0.6,20260918T0135-7dd1a33,discover-1
c0174,742,333,72,64,0.9143,access_connectivity,0.7393,0.0391,0.0121,"Technical, Economic and Financial Analysis",0.3107,0.3437,0.63,REF085,0.3576,shortlist,,20260918T0135-7dd1a33,discover-1
c0274,677,261,74,65,0.9286,drm_ews,0.607,0.0,0.0295,Country Context,0.3123,0.7168,0.6161,REF041,0.5539,shortlist,,20260918T0135-7dd1a33,discover-1
c0074,659,252,79,61,0.8714,access_connectivity,0.5045,0.0379,0.7284,Environmental and Social,0.3136,0.6,0.5795,REF037,0.4435,junk,junk_section_share>=0.6,20260918T0135-7dd1a33,discover-1
c0196,581,399,83,66,0.9429,cybersecurity,0.7351,0.0654,0.296,Project Components,0.3478,0.3327,0.6118,REF059,0.4065,shortlist,,20260918T0135-7dd1a33,discover-1
c0194,578,431,74,61,0.8714,access_connectivity,0.606,0.0398,0.1436,Project Components,0.3331,0.3456,0.6573,REF045,0.4498,shortlist,,20260918T0135-7dd1a33,discover-1
c0270,562,326,70,63,0.9,access_connectivity,0.8249,0.0605,0.0765,Project Components,0.3017,0.4633,0.6292,REF042,0.4917,shortlist,,20260918T0135-7dd1a33,discover-1
c0062,540,379,116,67,0.9571,access_connectivity,0.677,0.0352,0.5574,DESCRIPTION OF PROPOSED CHANGES,0.5181,0.3307,0.6521,REF030,0.4354,shortlist,,20260918T0135-7dd1a33,discover-1
c0252,532,325,85,62,0.8857,cybersecurity,0.6899,0.0395,0.2744,Sectoral and Institutional Context,0.3786,0.327,0.6502,REF063,0.6059,shortlist,,20260918T0135-7dd1a33,discover-1
c0271,491,252,46,38,0.5429,drm_ews,0.3484,0.0305,0.2383,Project Components,0.1871,0.4499,0.5939,REF044,0.5316,shortlist,,20260918T0135-7dd1a33,discover-1
c0185,486,307,60,46,0.6571,dpi,0.7098,0.0597,0.0782,Detailed Project Description,0.2626,0.2971,0.6389,REF010,0.6505,shortlist,,20260918T0135-7dd1a33,discover-1
c0053,479,462,90,61,0.8714,dpi,0.7282,0.0042,0.0605,Project Components,0.4731,0.2611,0.7675,REF056,0.4789,shortlist,,20260918T0135-7dd1a33,discover-1
c0253,449,294,84,60,0.8571,cybersecurity,0.5428,0.049,0.1158,Project Components,0.3857,0.4096,0.6704,REF047,0.7075,shortlist,,20260918T0135-7dd1a33,discover-1
c0163,444,407,98,68,0.9714,dpi,0.7146,0.1622,0.2005,Project Components,0.4711,0.3756,0.7018,REF030,0.3795,shortlist,,20260918T0135-7dd1a33,discover-1
c0349,437,225,77,62,0.8857,cybersecurity,0.8606,0.1625,0.9314,Implementation Arrangements and Support Plan,0.3533,0.2801,0.6699,REF066,0.3751,junk,junk_section_share>=0.6,20260918T0135-7dd1a33,discover-1
c0348,429,217,17,14,0.2,dpi,0.3286,0.0629,0.1795,Technical Design and Component Descriptions,0.0768,0.2475,0.6592,REF005,0.4581,shortlist,,20260918T0135-7dd1a33,discover-1
c0371,429,281,68,61,0.8714,access_connectivity,0.6369,0.0816,0.1189,Project Components,0.3392,0.2361,0.7283,REF011,0.6051,shortlist,,20260918T0135-7dd1a33,discover-1
c0384,405,259,67,51,0.7286,access_connectivity,0.577,0.037,0.1481,Sectoral and Institutional Context,0.2966,0.2801,0.6462,REF043,0.6408,shortlist,,20260918T0135-7dd1a33,discover-1
c0261,401,375,100,68,0.9714,access_connectivity,0.7663,0.0175,0.5511,Implementation Arrangements and Support Plan,0.4831,0.3785,0.7054,REF030,0.3284,shortlist,,20260918T0135-7dd1a33,discover-1
c0085,400,350,79,56,0.8,access_connectivity,0.3288,0.1825,0.13,Project Components,0.3929,0.301,0.7262,REF046,0.5677,shortlist,,20260918T0135-7dd1a33,discover-1
c0343,400,276,54,45,0.6429,access_connectivity,0.8225,0.0,0.2125,Country Context,0.1905,0.4035,0.5151,REF087,0.3873,shortlist,,20260918T0135-7dd1a33,discover-1
