community_id,size,n_paragraphs,n_documents,n_projects,project_spread,asset_top,asset_spread,commitment_share,junk_section_share,top_section,template_score,hazard_proximity,mean_cos_to_centroid,nearest_reference_id,nearest_reference_cos,verdict,verdict_reason,run_id,discovery_version
c0013,880,712,103,69,0.9857,access_connectivity,0.9044,0.0182,0.1341,Country Context,0.3178,0.4353,0.4505,REF011,0.4372,shortlist,,20260918T0110-7dd1a33,discover-1
c0051,817,706,93,63,0.9,access_connectivity,0.6504,0.0404,0.1273,Project Components,0.3717,0.3688,0.5835,REF046,0.6651,shortlist,,20260918T0110-7dd1a33,discover-1
c0037,497,391,64,44,0.6286,dpi,0.3997,0.0423,0.2052,Project Components,0.2506,0.3064,0.5716,REF068,0.6146,shortlist,,20260918T0110-7dd1a33,discover-1
c0029,355,299,74,64,0.9143,drm_ews,0.6444,0.0451,0.0592,Project Components,0.3142,0.7316,0.62,REF041,0.6636,shortlist,,20260918T0110-7dd1a33,discover-1
c0075,283,235,83,65,0.9286,access_connectivity,0.9432,0.1025,0.8728,Implementation Arrangements and Support Plan,0.3384,0.3241,0.5953,REF005,0.4334,junk,junk_section_share>=0.6,20260918T0110-7dd1a33,discover-1
c0072,281,247,81,65,0.9286,access_connectivity,0.7784,0.0391,0.8434,Implementation Arrangements and Support Plan,0.3683,0.2857,0.6638,REF045,0.5136,junk,junk_section_share>=0.6,20260918T0110-7dd1a33,discover-1
c0008,270,258,81,64,0.9143,access_connectivity,0.8914,0.0,0.2926,Project Components,0.3272,0.4021,0.5898,REF030,0.3803,shortlist,,20260918T0110-7dd1a33,discover-1
c0038,257,219,76,57,0.8143,cybersecurity,0.5502,0.0272,0.1518,Project Components,0.3063,0.405,0.5883,REF081,0.6092,shortlist,,20260918T0110-7dd1a33,discover-1
c0099,233,218,76,49,0.7,dpi,0.6406,0.0129,0.1588,Project Components,0.3506,0.2885,0.6734,REF086,0.5347,shortlist,,20260918T0110-7dd1a33,discover-1
c0019,224,174,59,57,0.8143,access_connectivity,0.7948,0.0714,0.0357,"Technical, Economic and Financial Analysis",0.2277,0.3839,0.5635,REF085,0.372,shortlist,,20260918T0110-7dd1a33,discover-1
c0079,217,193,78,56,0.8,access_connectivity,0.8869,0.106,0.7972,Implementation Arrangements and Support Plan,0.3613,0.3306,0.6763,REF045,0.3757,junk,junk_section_share>=0.6,20260918T0110-7dd1a33,discover-1
c0053,203,192,80,69,0.9857,access_connectivity,0.706,0.0148,0.2956,Relevance to Higher Level Objectives,0.3528,0.3505,0.6438,REF005,0.4408,shortlist,,20260918T0110-7dd1a33,discover-1
c0096,197,194,80,59,0.8429,access_connectivity,0.7669,0.0,0.4112,Project Components,0.296,0.4137,0.5403,REF030,0.312,shortlist,,20260918T0110-7dd1a33,discover-1
c0017,189,178,66,58,0.8286,access_connectivity,0.6829,0.0529,0.1005,Project Components,0.2935,0.3521,0.6493,REF045,0.4474,shortlist,,20260918T0110-7dd1a33,discover-1
c0063,181,178,83,54,0.7714,access_connectivity,0.7468,0.105,0.5856,Implementation Arrangements and Support Plan,0.3874,0.3993,0.6815,REF030,0.3658,shortlist,,20260918T0110-7dd1a33,discover-1
c0077,171,152,65,56,0.8,dpi,0.8063,0.0468,0.6199,Institutional and Implementation Arrangements,0.2471,0.3461,0.555,REF086,0.4126,junk,junk_section_share>=0.6,20260918T0110-7dd1a33,discover-1
c0098,151,147,62,52,0.7429,access_connectivity,0.667,0.053,0.1325,Project Components,0.2932,0.2472,0.6904,REF059,0.5035,shortlist,,20260918T0110-7dd1a33,discover-1
c0030,145,120,60,55,0.7857,access_connectivity,0.8402,0.0276,0.0897,Project Components,0.2485,0.4643,0.6047,REF042,0.4897,shortlist,,20260918T0110-7dd1a33,discover-1
c0031,142,138,59,55,0.7857,access_connectivity,0.8271,0.007,0.0423,Project Components,0.2364,0.4031,0.585,REF056,0.4103,shortlist,,20260918T0110-7dd1a33,discover-1
c0057,134,123,79,58,0.8286,dpi,0.8982,0.0075,0.5149,Implementation Arrangements and Support Plan,0.3198,0.3381,0.591,REF063,0.3119,shortlist,,20260918T0110-7dd1a33,discover-1
c0047,124,124,64,49,0.7,access_connectivity,0.793,0.0081,0.0887,Project Components,0.3247,0.2761,0.7408,REF056,0.4738,shortlist,,20260918T0110-7dd1a33,discover-1
c0054,109,100,61,47,0.6714,access_connectivity,0.8452,0.0092,0.211,Project Components,0.2719,0.3306,0.6509,REF005,0.4022,shortlist,,20260918T0110-7dd1a33,discover-1
c0036,108,94,38,36,0.5143,dpi,0.6636,0.0093,0.1574,Project Components,0.1544,0.3037,0.5931,REF010,0.6159,shortlist,,20260918T0110-7dd1a33,discover-1
c0064,104,104,61,45,0.6429,access_connectivity,0.8692,0.0865,0.2308,Project Components,0.2778,0.3372,0.6649,REF053,0.3312,shortlist,,20260918T0110-7dd1a33,discover-1
c0005,97,92,55,53,0.7571,access_connectivity,0.8107,0.0,0.8866,KEY RISKS,0.2614,0.4522,0.6939,REF030,0.4561,junk,junk_section_share>=0.6,20260918T0110-7dd1a33,discover-1
c0039,88,84,53,47,0.6714,dpi,0.7337,0.0,0.25,Project Components,0.2094,0.414,0.5768,REF064,0.632,shortlist,,20260918T0110-7dd1a33,discover-1
c0095,88,73,45,40,0.5714,access_connectivity,0.8113,0.0,0.8977,Implementation Arrangements and Support Plan,0.1951,0.3159,0.6331,REF086,0.3781,junk,junk_section_share>=0.6,20260918T0110-7dd1a33,discover-1
c0061,85,85,46,42,0.6,dpi,0.822,0.0,0.0941,Project Components,0.2541,0.3169,0.8063,REF030,0.3696,shortlist,,20260918T0110-7dd1a33,discover-1
c0033,84,79,46,40,0.5714,dpi,0.6362,0.0,0.2262,Project Components,0.2112,0.3861,0.6703,REF062,0.4639,shortlist,,20260918T0110-7dd1a33,discover-1
c0006,83,80,47,41,0.5857,access_connectivity,0.8528,0.0241,0.6747,KEY RISKS,0.2212,0.5242,0.687,REF030,0.5228,junk,junk_section_share>=0.6,20260918T0110-7dd1a33,discover-1
c0012,83,71,22,22,0.3143,dpi,0.821,0.012,0.253,Project Components,0.0924,0.3538,0.613,REF084,0.5511,shortlist,,20260918T0110-7dd1a33,discover-1
c0085,81,69,38,38,0.5429,access_connectivity,0.7859,0.0,0.037,Sectoral and Institutional Context,0.1689,0.2085,0.6488,REF011,0.4987,shortlist,,20260918T0110-7dd1a33,discover-1
c0028,80,73,30,27,0.3857,drm_ews,0.5123,0.0,0.1,Project Components,0.122,0.5911,0.5939,REF053,0.5596,shortlist,,20260918T0110-7dd1a33,discover-1
c0100,79,77,45,42,0.6,dpi,0.8206,0.0,0.038,Project Components,0.2179,0.2846,0.707,REF067,0.5615,shortlist,,20260918T0110-7dd1a33,discover-1
c0103,78,75,44,37,0.5286,dpi,0.806,0.0,0.2949,Project Components,0.2086,0.3316,0.6923,REF042,0.5122,shortlist,,20260918T0110-7dd1a33,discover-1
