community_id,size,top_section,junk_section_share,n_projects,verdict_reason,run_id
c0020,54,RESULTS FRAMEWORK AND MONITORING,0.7407,45,junk_section_share>=0.6,20260918T0135-7dd1a33
c0034,54,Fiduciary,0.9815,39,junk_section_share>=0.6,20260918T0135-7dd1a33
c0044,52,Implementation Arrangements and Support Plan,0.6154,27,junk_section_share>=0.6,20260918T0135-7dd1a33
c0047,57,Implementation Arrangements and Support Plan,0.7895,27,junk_section_share>=0.6,20260918T0135-7dd1a33
c0054,129,Implementation Arrangements and Support Plan,0.7674,53,junk_section_share>=0.6,20260918T0135-7dd1a33
c0056,93,Implementation Arrangements and Support Plan,0.6882,44,junk_section_share>=0.6,20260918T0135-7dd1a33
c0068,55,Environmental and Social,0.6727,28,junk_section_share>=0.6,20260918T0135-7dd1a33
c0069,85,KEY RISKS,0.9529,51,junk_section_share>=0.6,20260918T0135-7dd1a33
c0070,929,Environmental and Social,0.6695,66,junk_section_share>=0.6,20260918T0135-7dd1a33
c0071,138,KEY RISKS,0.9638,51,junk_section_share>=0.6,20260918T0135-7dd1a33
c0072,171,Fiduciary,0.9766,59,junk_section_share>=0.6,20260918T0135-7dd1a33
c0073,79,KEY RISKS,0.9367,51,junk_section_share>=0.6,20260918T0135-7dd1a33
c0074,659,Environmental and Social,0.7284,61,junk_section_share>=0.6,20260918T0135-7dd1a33
c0075,50,KEY RISKS,0.88,28,junk_section_share>=0.6,20260918T0135-7dd1a33
c0077,89,KEY RISKS,0.764,43,junk_section_share>=0.6,20260918T0135-7dd1a33
c0078,61,KEY RISKS,0.8689,42,junk_section_share>=0.6,20260918T0135-7dd1a33
c0079,271,KEY RISKS,0.8044,67,junk_section_share>=0.6,20260918T0135-7dd1a33
c0080,60,Environmental and Social,0.6833,34,junk_section_share>=0.6,20260918T0135-7dd1a33
c0081,52,KEY RISKS,0.8654,33,junk_section_share>=0.6,20260918T0135-7dd1a33
c0082,121,KEY RISKS,0.9421,54,junk_section_share>=0.6,20260918T0135-7dd1a33
c0091,68,Implementation Arrangements and Support Plan,0.6471,38,junk_section_share>=0.6,20260918T0135-7dd1a33
c0097,122,Implementation Arrangements and Support Plan,0.7049,50,junk_section_share>=0.6,20260918T0135-7dd1a33
