community_id,size,top_section,junk_section_share,n_projects,verdict_reason,run_id
c0002,68,Environmental and Social,0.7353,38,junk_section_share>=0.6,20260918T0110-7dd1a33
c0003,30,Implementation Arrangements and Support Plan,0.9,25,junk_section_share>=0.6,20260918T0110-7dd1a33
c0004,26,KEY RISKS,0.8077,26,junk_section_share>=0.6,20260918T0110-7dd1a33
c0005,97,KEY RISKS,0.8866,53,junk_section_share>=0.6,20260918T0110-7dd1a33
c0006,83,KEY RISKS,0.6747,41,junk_section_share>=0.6,20260918T0110-7dd1a33
c0007,76,Environmental and Social,0.6579,42,junk_section_share>=0.6,20260918T0110-7dd1a33
c0027,59,RESULTS FRAMEWORK AND MONITORING,0.6441,42,junk_section_share>=0.6,20260918T0110-7dd1a33
c0044,28,Implementation Arrangements and Support Plan,0.6429,20,junk_section_share>=0.6,20260918T0110-7dd1a33
c0048,38,Implementation Arrangements and Support Plan,1.0,28,junk_section_share>=0.6,20260918T0110-7dd1a33
c0060,41,Implementation Arrangements and Support Plan,0.6098,30,junk_section_share>=0.6,20260918T0110-7dd1a33
c0071,59,Implementation Arrangements and Support Plan,0.8475,39,junk_section_share>=0.6,20260918T0110-7dd1a33
c0072,281,Implementation Arrangements and Support Plan,0.8434,65,junk_section_share>=0.6,20260918T0110-7dd1a33
c0073,61,Implementation Arrangements and Support Plan,0.9344,47,junk_section_share>=0.6,20260918T0110-7dd1a33
c0074,31,Implementation Arrangements and Support Plan,0.871,22,junk_section_share>=0.6,20260918T0110-7dd1a33
c0075,283,Implementation Arrangements and Support Plan,0.8728,65,junk_section_share>=0.6,20260918T0110-7dd1a33
c0077,171,Institutional and Implementation Arrangements,0.6199,56,junk_section_share>=0.6,20260918T0110-7dd1a33
c0078,62,Institutional and Implementation Arrangements,0.6935,35,junk_section_share>=0.6,20260918T0110-7dd1a33
c0079,217,Implementation Arrangements and Support Plan,0.7972,56,junk_section_share>=0.6,20260918T0110-7dd1a33
c0087,56,Implementation Arrangements and Support Plan,0.9286,33,junk_section_share>=0.6,20260918T0110-7dd1a33
c0088,35,Implementation Arrangements and Support Plan,0.9714,25,junk_section_share>=0.6,20260918T0110-7dd1a33
c0090,51,Implementation Arrangements and Support Plan,0.9804,34,junk_section_share>=0.6,20260918T0110-7dd1a33
c0091,46,Fiduciary,0.9565,35,junk_section_share>=0.6,20260918T0110-7dd1a33
c0093,75,Implementation Arrangements and Support Plan,0.9733,35,junk_section_share>=0.6,20260918T0110-7dd1a33
c0094,38,Implementation Arrangements and Support Plan,0.9474,25,junk_section_share>=0.6,20260918T0110-7dd1a33
c0095,88,Implementation Arrangements and Support Plan,0.8977,40,junk_section_share>=0.6,20260918T0110-7dd1a33
