community_id,size,top_section,junk_section_share,n_projects,verdict_reason,run_id
c0016,33,Fiduciary,1.0,22,junk_section_share>=0.6,20260918T0131-7dd1a33
c0025,38,RESULTS FRAMEWORK AND MONITORING,0.9474,39,junk_section_share>=0.6,20260918T0131-7dd1a33
c0033,54,RESULTS FRAMEWORK AND MONITORING,0.7407,45,junk_section_share>=0.6,20260918T0131-7dd1a33
c0036,41,RESULTS FRAMEWORK AND MONITORING,1.0,39,junk_section_share>=0.6,20260918T0131-7dd1a33
c0055,41,RESULTS FRAMEWORK AND MONITORING,1.0,37,junk_section_share>=0.6,20260918T0131-7dd1a33
c0060,45,Fiduciary,0.9778,30,junk_section_share>=0.6,20260918T0131-7dd1a33
c0061,54,Fiduciary,0.9815,39,junk_section_share>=0.6,20260918T0131-7dd1a33
c0062,27,Implementation Arrangements and Support Plan,0.6667,19,junk_section_share>=0.6,20260918T0131-7dd1a33
c0066,31,Implementation Arrangements and Support Plan,0.8065,21,junk_section_share>=0.6,20260918T0131-7dd1a33
c0067,56,Implementation Arrangements and Support Plan,0.6429,38,junk_section_share>=0.6,20260918T0131-7dd1a33
c0072,36,KEY RISKS,1.0,25,junk_section_share>=0.6,20260918T0131-7dd1a33
c0075,26,Implementation Arrangements and Support Plan,0.6923,20,junk_section_share>=0.6,20260918T0131-7dd1a33
c0077,28,Implementation Arrangements and Support Plan,0.7143,16,junk_section_share>=0.6,20260918T0131-7dd1a33
c0082,52,Implementation Arrangements and Support Plan,0.6154,27,junk_section_share>=0.6,20260918T0131-7dd1a33
c0086,41,Implementation Arrangements and Support Plan,0.878,31,junk_section_share>=0.6,20260918T0131-7dd1a33
c0088,37,Implementation Arrangements and Support Plan,0.8378,25,junk_section_share>=0.6,20260918T0131-7dd1a33
c0090,57,Implementation Arrangements and Support Plan,0.7895,27,junk_section_share>=0.6,20260918T0131-7dd1a33
c0094,42,Implementation Arrangements and Support Plan,0.9048,26,junk_section_share>=0.6,20260918T0131-7dd1a33
c0097,25,Implementation Arrangements and Support Plan,0.8,20,junk_section_share>=0.6,20260918T0131-7dd1a33
c0105,129,Implementation Arrangements and Support Plan,0.7674,53,junk_section_share>=0.6,20260918T0131-7dd1a33
c0108,29,Implementation Arrangements and Support Plan,0.6897,15,junk_section_share>=0.6,20260918T0131-7dd1a33
c0109,93,Implementation Arrangements and Support Plan,0.6882,44,junk_section_share>=0.6,20260918T0131-7dd1a33
c0115,25,Implementation Arrangements and Support Plan,0.72,18,junk_section_share>=0.6,20260918T0131-7dd1a33
c0123,33,Results Monitoring and Evaluation Arrangements,0.7273,26,junk_section_share>=0.6,20260918T0131-7dd1a33
c0128,25,DESCRIPTION OF PROPOSED CHANGES,0.88,16,junk_section_share>=0.6,20260918T0131-7dd1a33
c0138,55,Environmental and Social,0.6727,28,junk_section_share>=0.6,20260918T0131-7dd1a33
c0139,30,Environmental and Social,0.8333,23,junk_section_share>=0.6,20260918T0131-7dd1a33
c0140,85,KEY RISKS,0.9529,51,junk_section_share>=0.6,20260918T0131-7dd1a33
c0141,110,KEY RISKS,0.9545,45,junk_section_share>=0.6,20260918T0131-7dd1a33
c0142,27,KEY RISKS,1.0,28,junk_section_share>=0.6,20260918T0131-7dd1a33
c0144,79,KEY RISKS,0.9367,51,junk_section_share>=0.6,20260918T0131-7dd1a33
c0145,50,KEY RISKS,0.88,28,junk_section_share>=0.6,20260918T0131-7dd1a33
c0146,37,Environmental and Social,0.7027,19,junk_section_share>=0.6,20260918T0131-7dd1a33
c0147,32,KEY RISKS,1.0,32,junk_section_share>=0.6,20260918T0131-7dd1a33
c0148,48,Fiduciary,1.0,32,junk_section_share>=0.6,20260918T0131-7dd1a33
c0149,61,Fiduciary,1.0,34,junk_section_share>=0.6,20260918T0131-7dd1a33
c0150,33,KEY RISKS,0.9697,28,junk_section_share>=0.6,20260918T0131-7dd1a33
c0151,27,Implementation Arrangements and Support Plan,0.8148,16,junk_section_share>=0.6,20260918T0131-7dd1a33
c0153,32,KEY RISKS,0.8438,20,junk_section_share>=0.6,20260918T0131-7dd1a33
c0154,89,KEY RISKS,0.764,43,junk_section_share>=0.6,20260918T0131-7dd1a33
c0155,66,Environmental and Social,0.6212,32,junk_section_share>=0.6,20260918T0131-7dd1a33
c0156,61,KEY RISKS,0.8689,42,junk_section_share>=0.6,20260918T0131-7dd1a33
c0157,40,Environmental and Social,0.8,28,junk_section_share>=0.6,20260918T0131-7dd1a33
c0158,41,KEY RISKS,0.7805,24,junk_section_share>=0.6,20260918T0131-7dd1a33
c0159,25,Environmental and Social,0.76,14,junk_section_share>=0.6,20260918T0131-7dd1a33
c0160,55,Environmental and Social,0.6,31,junk_section_share>=0.6,20260918T0131-7dd1a33
c0161,25,Environmental and Social,0.76,17,junk_section_share>=0.6,20260918T0131-7dd1a33
c0162,50,Environmental and Social,0.78,31,junk_section_share>=0.6,20260918T0131-7dd1a33
c0163,56,Environmental and Social,0.6786,30,junk_section_share>=0.6,20260918T0131-7dd1a33
c0164,50,Environmental and Social,0.9,25,junk_section_share>=0.6,20260918T0131-7dd1a33
c0165,89,Environmental and Social,0.7528,32,junk_section_share>=0.6,20260918T0131-7dd1a33
c0166,60,Environmental and Social,0.6833,34,junk_section_share>=0.6,20260918T0131-7dd1a33
c0167,52,KEY RISKS,0.8654,33,junk_section_share>=0.6,20260918T0131-7dd1a33
c0168,121,KEY RISKS,0.9421,54,junk_section_share>=0.6,20260918T0131-7dd1a33
c0169,69,KEY RISKS,0.7826,40,junk_section_share>=0.6,20260918T0131-7dd1a33
c0170,88,KEY RISKS,0.875,45,junk_section_share>=0.6,20260918T0131-7dd1a33
c0172,320,Environmental and Social,0.7031,60,junk_section_share>=0.6,20260918T0131-7dd1a33
c0173,84,DETAILED CHANGE(S),0.619,37,junk_section_share>=0.6,20260918T0131-7dd1a33
c0189,68,Implementation Arrangements and Support Plan,0.6471,38,junk_section_share>=0.6,20260918T0131-7dd1a33
c0202,28,Implementation Arrangements and Support Plan,0.8214,21,junk_section_share>=0.6,20260918T0131-7dd1a33
c0206,122,Implementation Arrangements and Support Plan,0.7049,50,junk_section_share>=0.6,20260918T0131-7dd1a33
c0210,36,Implementation Arrangements and Support Plan,0.6944,9,junk_section_share>=0.6,20260918T0131-7dd1a33
c0211,37,Implementation Arrangements and Support Plan,0.8378,23,junk_section_share>=0.6,20260918T0131-7dd1a33
c0213,106,Lessons Learned and Reflected in the Project Design,0.6698,53,junk_section_share>=0.6,20260918T0131-7dd1a33
c0219,32,Results Monitoring and Evaluation Arrangements,0.75,26,junk_section_share>=0.6,20260918T0131-7dd1a33
c0223,128,Fiduciary,0.9453,55,junk_section_share>=0.6,20260918T0131-7dd1a33
c0236,71,Implementation Arrangements and Support Plan,0.7042,28,junk_section_share>=0.6,20260918T0131-7dd1a33
c0237,106,Implementation Arrangements and Support Plan,0.8774,39,junk_section_share>=0.6,20260918T0131-7dd1a33
c0253,35,Implementation Arrangements and Support Plan,0.7714,28,junk_section_share>=0.6,20260918T0131-7dd1a33
c0262,125,Implementation Arrangements and Support Plan,0.704,50,junk_section_share>=0.6,20260918T0131-7dd1a33
c0270,39,Implementation Arrangements and Support Plan,0.7179,30,junk_section_share>=0.6,20260918T0131-7dd1a33
c0276,63,KEY RISKS,0.9206,43,junk_section_share>=0.6,20260918T0131-7dd1a33
c0278,33,Implementation Arrangements and Support Plan,0.8485,23,junk_section_share>=0.6,20260918T0131-7dd1a33
c0279,32,Implementation Arrangements and Support Plan,0.75,27,junk_section_share>=0.6,20260918T0131-7dd1a33
c0287,38,DESCRIPTION OF PROPOSED CHANGES,0.6053,19,junk_section_share>=0.6,20260918T0131-7dd1a33
c0306,41,Implementation Arrangements and Support Plan,0.7805,24,junk_section_share>=0.6,20260918T0131-7dd1a33
c0321,92,Institutional and Implementation Arrangements,0.837,25,junk_section_share>=0.6,20260918T0131-7dd1a33
c0325,26,Implementation Arrangements and Support Plan,0.6923,15,junk_section_share>=0.6,20260918T0131-7dd1a33
c0327,57,Implementation Arrangements and Support Plan,0.7895,32,junk_section_share>=0.6,20260918T0131-7dd1a33
c0338,25,DESCRIPTION OF PROPOSED CHANGES,0.6,15,junk_section_share>=0.6,20260918T0131-7dd1a33
c0339,54,Implementation Arrangements and Support Plan,0.6667,29,junk_section_share>=0.6,20260918T0131-7dd1a33
c0340,27,Implementation Arrangements and Support Plan,0.7407,22,junk_section_share>=0.6,20260918T0131-7dd1a33
c0366,148,Implementation Arrangements and Support Plan,0.9595,55,junk_section_share>=0.6,20260918T0131-7dd1a33
c0407,27,Implementation Arrangements and Support Plan,0.963,21,junk_section_share>=0.6,20260918T0131-7dd1a33
c0408,25,Fiduciary,1.0,16,junk_section_share>=0.6,20260918T0131-7dd1a33
c0421,54,Implementation Arrangements and Support Plan,0.6481,39,junk_section_share>=0.6,20260918T0131-7dd1a33
c0431,44,Implementation Arrangements and Support Plan,0.9091,28,junk_section_share>=0.6,20260918T0131-7dd1a33
c0438,111,Implementation Arrangements and Support Plan,0.6126,48,junk_section_share>=0.6,20260918T0131-7dd1a33
c0449,26,Implementation Arrangements and Support Plan,1.0,19,junk_section_share>=0.6,20260918T0131-7dd1a33
c0454,42,Implementation Arrangements and Support Plan,0.8571,18,junk_section_share>=0.6,20260918T0131-7dd1a33
c0461,41,Fiduciary,0.8293,23,junk_section_share>=0.6,20260918T0131-7dd1a33
c0462,39,Implementation Arrangements and Support Plan,0.7436,20,junk_section_share>=0.6,20260918T0131-7dd1a33
c0481,25,Timelines and Additional Details of Project Activities,0.28,2,n_projects<3,20260918T0131-7dd1a33
c0482,62,DESCRIPTION OF PROPOSED CHANGES,0.6129,24,junk_section_share>=0.6,20260918T0131-7dd1a33
c0483,29,DESCRIPTION OF PROPOSED CHANGES,0.6207,12,junk_section_share>=0.6,20260918T0131-7dd1a33
c0485,53,Implementation Arrangements and Support Plan,0.9811,26,junk_section_share>=0.6,20260918T0131-7dd1a33
c0494,30,Implementation Arrangements and Support Plan,1.0,23,junk_section_share>=0.6,20260918T0131-7dd1a33
