paragraph_id,asset_id,label,labeller,labelled_at,sample_id
34338772:p00689,access_connectivity,true,dev,2026-09-16,training-20260915-s1
34394311:p00139,submarine_cable,true,dev,2026-09-16,training-20260915-s1
40087727:p00252,access_connectivity,false,dev,2026-09-16,training-20260915-s1
32159893:p00363,cybersecurity,false,dev,2026-09-16,training-20260915-s1
33602788:p00249,cybersecurity,true,dev,2026-09-16,training-20260915-s1
31747152:p00503,drm_ews,false,dev,2026-09-16,training-20260915-s1
32108178:p00279,cybersecurity,false,dev,2026-09-16,training-20260915-s1
33753850:p00253,data_hosting,false,dev,2026-09-16,training-20260915-s1
33819612:p00269,drm_ews,false,dev,2026-09-16,training-20260915-s1
40013198:p00272,dpi,false,dev,2026-09-16,training-20260915-s1
33812956:p00189,cybersecurity,true,dev,2026-09-16,training-20260915-s1
34295403:p00206,mobile_towers,false,dev,2026-09-16,training-20260915-s1
32527137:p00335,cybersecurity,false,dev,2026-09-16,training-20260915-s1
34222788:p00237,submarine_cable,false,dev,2026-09-16,training-20260915-s1
40087727:p00258,access_connectivity,false,dev,2026-09-16,training-20260915-s1
33706639:p00324,access_connectivity,true,dev,2026-09-16,training-20260915-s1
34388773:p00119,access_connectivity,false,dev,2026-09-16,training-20260915-s1
34394311:p00139,cybersecurity,false,dev,2026-09-16,training-20260915-s1
40109413:p00169,mobile_towers,false,dev,2026-09-16,training-20260915-s1
32971756:p00523,drm_ews,false,dev,2026-09-16,training-20260915-s1
33815663:p00158,data_hosting,true,dev,2026-09-16,training-20260915-s1
40052992:p00160,cybersecurity,false,dev,2026-09-16,training-20260915-s1
34338772:p00725,access_connectivity,false,dev,2026-09-16,training-20260915-s1
40110459:p00328,access_connectivity,false,dev,2026-09-16,training-20260915-s1
34394311:p00138,fiber,false,dev,2026-09-16,training-20260915-s1
33815663:p00150,access_connectivity,true,dev,2026-09-16,training-20260915-s1
31747152:p00203,cybersecurity,false,dev,2026-09-16,training-20260915-s1
33937854:p00146,data_hosting,true,dev,2026-09-16,training-20260915-s1
33835348:p00499,drm_ews,false,dev,2026-09-16,training-20260915-s1
34254903:p00109,drm_ews,false,dev,2026-09-16,training-20260915-s1
34428613:p00337,data_hosting,false,dev,2026-09-16,training-20260915-s1
33835348:p00180,cybersecurity,false,dev,2026-09-16,training-20260915-s1
33813209:p00183,fiber,false,dev,2026-09-16,training-20260915-s1
32971756:p00523,access_connectivity,false,dev,2026-09-16,training-20260915-s1
34441286:p00049,data_hosting,false,dev,2026-09-16,training-20260915-s1
34310682:p00378,access_connectivity,false,dev,2026-09-16,training-20260915-s1
31747152:p00578,submarine_cable,false,dev,2026-09-16,training-20260915-s1
34022655:p00490,fiber,false,dev,2026-09-16,training-20260915-s1
34310682:p00378,submarine_cable,false,dev,2026-09-16,training-20260915-s1
33753850:p00164,submarine_cable,false,dev,2026-09-16,training-20260915-s1
33819612:p00162,dpi,true,dev,2026-09-16,training-20260915-s1
